,,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10
table_1,candidate,24,21,23,29,19,32,07,33,27,30
table_1,observer,20,14,11,03,,28,,,,16
table_2,candidate,32,19,03,23,27,30,14,20,11,33
table_2,observer,21,16,,,29,,28,07,24,
table_3,candidate,27,07,16,33,32,03,24,19,28,21
table_3,observer,,,29,,14,23,11,30,,20
table_4,candidate,03,11,21,24,20,27,33,28,29,14
table_4,observer,30,,07,19,,,16,,32,23
table_5,candidate,11,32,14,28,16,20,23,29,21,24
table_5,observer,19,,33,30,07,,27,03,,
table_6,candidate,33,20,28,11,30,16,21,14,03,07
table_6,observer,29,23,,27,,24,,,19,32
table_7,candidate,14,28,30,32,23,11,20,27,07,03
table_7,observer,,,24,,33,29,19,21,16,
table_8,candidate,16,30,19,20,03,33,32,24,14,29
table_8,observer,,27,,21,11,07,,,23,28
table_9,candidate,23,29,27,07,28,19,03,16,30,11
table_9,observer,,33,,14,24,21,,32,20,
table_10,candidate,07,24,20,16,21,14,29,23,33,19
table_10,observer,28,03,32,,,,30,11,,27
