,,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10
table_1,candidate,25,05,26,04,18,01,31,12,17,13
table_1,observer,,,,,08,10,22,,06,15
table_2,candidate,10,01,05,17,15,12,26,18,25,04
table_2,observer,,08,31,,,,06,13,22,
table_3,candidate,15,12,22,26,31,06,25,17,05,08
table_3,observer,,,18,10,04,,13,,,01
table_4,candidate,12,13,06,05,10,18,01,22,31,17
table_4,observer,08,26,,15,,25,,04,,
table_5,candidate,05,31,15,22,12,26,04,25,08,10
table_5,observer,18,06,01,,,,17,,13,
table_6,candidate,17,25,04,06,01,13,15,08,26,22
table_6,observer,,18,,12,,,10,31,,05
table_7,candidate,22,04,13,31,06,05,08,10,01,18
table_7,observer,,15,17,,25,,,26,,12
table_8,candidate,31,10,25,18,13,22,12,15,04,06
table_8,observer,26,,08,01,,17,,05,,
table_9,candidate,01,22,12,13,17,08,18,06,15,25
table_9,observer,04,,,,05,31,,,10,26
table_10,candidate,06,17,10,08,26,15,05,01,18,31
table_10,observer,13,,,25,22,04,,,12,
