,,table_1,table_2,table_3,table_4,table_5,table_6,table_7,table_8,table_9,table_10
session_1,candidate,25,10,15,12,05,17,22,31,01,06
session_1,observer,,,,08,18,,,26,04,13
session_2,candidate,05,01,12,13,31,25,04,10,22,17
session_2,observer,,08,,26,06,18,15,,,
session_3,candidate,26,05,22,06,15,04,13,25,12,10
session_3,observer,,31,18,,01,,17,08,,
session_4,candidate,04,17,26,05,22,06,31,18,13,08
session_4,observer,,,10,15,,12,,01,,25
session_5,candidate,18,15,31,10,12,01,06,13,17,26
session_5,observer,08,,04,,,,25,,05,22
session_6,candidate,01,12,06,18,26,13,05,22,08,15
session_6,observer,10,,,25,,,,17,31,04
session_7,candidate,31,26,25,01,04,15,08,12,18,05
session_7,observer,22,06,13,,17,10,,,,
session_8,candidate,12,18,17,22,25,08,10,15,06,01
session_8,observer,,13,,04,,31,26,05,,
session_9,candidate,17,25,05,31,08,26,01,04,15,18
session_9,observer,06,22,,,13,,,,10,12
session_10,candidate,13,04,08,17,10,22,18,06,25,31
session_10,observer,15,,01,,,05,12,,26,
